mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_name,new_actor_type,actor,abbreviation,country_based,iso3c,correct?,notes
0,0/1,ORG,Islamic State,0,1,482,0,mentioned in agt text,ARM_512,Islamic State of Iraq and Levant,Armed Organization,Islamic State of Iraq and Levant,ISIS,Iraq,IRQ,,
1,0/1,GPE,Afghanistan,0,1,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
2,0/2,ORG,Hazrat Sahib,0,2,482,0,mentioned in agt text,0,,,,,,,,
3,0/2,GPE,Afghanistan,0,2,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
4,0/2,GPE,Kabul,0,2,482,0,mentioned in agt text,0,,,,,,,,
5,0/3,ORG,State,0,3,482,0,mentioned in agt text,0,,,,,,,,
6,0/4,ORG,Islamic Council,0,4,482,0,mentioned in agt text,0,,,,,,,,
7,0/4,ORG,Transitional State,0,4,482,0,mentioned in agt text,0,,,,,,,,
8,0/4,ORG,Hazrat Sahib,0,4,482,0,mentioned in agt text,0,,,,,,,,
9,0/5,ORG,Council,0,5,482,0,mentioned in agt text,0,,,,,,,,
10,0/7,ORG,Transitional Islamic State,0,7,482,0,mentioned in agt text,0,,,,,,,,
11,0/7,GPE,Afghanistan,0,7,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
12,0/7,ORG,Leadership Council,0,7,482,0,mentioned in agt text,0,,,,,,,,
13,0/12,ORG,Cabinet,0,12,482,0,mentioned in agt text,0,,,,,,,,
14,0/12,ORG,Tanzeemat,0,12,482,0,mentioned in agt text,0,,,,,,,,
15,0/14,GPE,Afghanistan,0,14,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
16,0/16,ORG,Ministry Interior,0,16,482,0,mentioned in agt text,0,,,,,,,,
17,0/16,ORG,Ittehad - e - Islami,0,16,482,0,mentioned in agt text,POL_446,Ittehad-e-Islami,Political Party,Ittehad-e-Islami,,Afghanistan,AFG,,
18,0/16,GPE,Afghanistan,0,16,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
19,0/18,ORG,Ministry Education,0,18,482,0,mentioned in agt text,0,,,,,,,,
20,0/20,ORG,Ministry Foreign Affairs,0,20,482,0,mentioned in agt text,0,,,,,,,,
21,0/20,ORG,National Islamic,0,20,482,0,mentioned in agt text,POL_448,National Islamic Front of Afghanistan,Political Party,National Islamic Front of Afghanistan,,Afghanistan,AFG,,
22,0/22,ORG,Ministry Defence,0,22,482,0,mentioned in agt text,0,,,,,,,,
23,0/22,GPE,Afghanistan,0,22,482,0,mentioned in agt text,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
24,0/24,ORG,Supreme Court,0,24,482,0,mentioned in agt text,0,,,,,,,,
25,0/24,ORG,Harkat,0,24,482,0,mentioned in agt text,0,,,,,,,,
26,0/26,ORG,Leadership Council,0,26,482,0,mentioned in agt text,0,,,,,,,,
27,0/26,ORG,Ministries,0,26,482,0,mentioned in agt text,0,,,,,,,,
28,0/26,ORG,Ministries Hizb - e - Wahdat,0,26,482,0,mentioned in agt text,0,,,,,,,,
29,0/29,ORG,Transitional Government,0,29,482,0,mentioned in agt text,OTH_914,Transitional Government,Other,Transitional Government,,Central African Republic,CAF,0,not referring to transitional government of CAF
30,0/29,ORG,Islamic Council,0,29,482,0,mentioned in agt text,0,,,,,,,,
31,0/30,ORG,Transitional Government,0,30,482,0,mentioned in agt text,OTH_914,Transitional Government,Other,Transitional Government,,Central African Republic,CAF,0,not referring to transitional government of CAF
32,1/0,ORG,International Afghanistan Conference,1,0,848,1,mentioned in agt text,0,,,,,,,,
